bridge spider	# a large  often found on bridges and near water ().
bugarija	# en A stringed instrument of Bosnian origin, a type of lute with circular soundholes, a long neck and usually four strings.
brulzie	# en A loud argument or dispute.
boobage	# en bosom|Bosom; women's breasts.|passage=In fact, it's probably safe to say that the number of peni exposed in this film more than compensate for the onslaught of '''boobage''' in movies past }}
borstal	# en A way up a hill in the South Downs.# en Any of the prisons set up in Britain for delinquent boys from 1895 to 1983.#: # en Any institution which provides education to young offenders.
bean sprout	File:Soybean sprouts.jpg|soybean sprouts in supermarket packaging|thumb# en A sprout of the mung bean.#: '''''Bean sprouts''' are a nutritious vegetarian ingredient for stir-fry.''# en A sprout of the soybean.# en A sprout of any of several other species of bean
boneshaking	# jolty#: ''a '''boneshaking''' journey''
bed hair	# en hair|Hair that stands out straight from the scalp and is therefore difficult to style, because, or as if, it has been set that way by lying on it in bed.
benzodihydrofuran	# en A bicyclic heterocycle composed of fused benzene and dihydrofuran rings
blustering	# Engaged in or involving the process of blustering, speaking or protesting loudly.# pompous|Pompous or arrogant in one's speech or bearing.# Very windy; (''of wind'') blowing very strongly, blustery.
balimbing	# en A turncoat; one who defects to the other side in politics.Category:en:People
brisque	# In the card game bezique, an ace or ten won in a trick.
brachytelephalangy	# en Unusually short length of the distal phalanx|phalanges.Category:English words prefixed with brachy-
bilaminar	# Formed of, or having, two laminae, or thin plates.
busyness	# The state of being busy.
baselike	# Resembling or characteristic of a base (in various senses).
booklined	# lined with books
b-girling	# en breakdancing|Breakdancing performed by a female.
borderlineness	# The quality of being borderline.
butter chicken	# A mild curry with marinaded chicken in a makhani sauce.Category:en:Foods
bum bag	# en A small pouch attached to a belt that is worn on the outside of clothing around the waist and used for holding small personal items.
blastomere	# en Any cell that results from division of a fertilized egg
balanoplasty	# en reconstruction of the glans penis
brassard	# en An armor plate that protects the arm.# An insignia or band worn around the upper arm.
bunny hug	# en A hoodie; a sweatshirt with a hood lacking a zipper.# en A style of early 20th-century dance, performed to ragtime music.
biogasoline	# gasoline|Gasoline produced from biomass.|passage=Shell has also formed partnerships with a variety of small companies at work on improving enzymes that break down various plants and waste materials for ethanol, making fuels from algae and even '''biogasoline''' from sugary liquids derived from plant materials.}}
blade of grass	# A single instance of a plant described by the mass noun .# en A very small amount of something. 
bull rope	# en a rope used for hoisting a topmast or topgallant mast in a square-rigged ship; it is rove from the cap of the lower mast, through a sheave in the foot of the topmast and then back through a block on the lower masthead, with the hauling part led to the deck
bullet train	# en A high-speed passenger train in Japan which runs at speeds from 200-300 kilometers per hour on the shinkansen network.# en A high-speed train which resembles such a train.# en suicide|Suicide by small firearm; ''see'' take the bullet train.#: ''“I should probably take the bullet train, and save her the grief.”''
bitruncated	# en truncated using bitruncation
bariosincosite	# en A tetragonal-dipyramidal mineral derived from sincosite by replacement of the calcium by barium.
black cancer	# melanosis
butchly	# In a butch manner.
bolete	# A type of fruiting body produced by certain fungus species in the order Boletales; includes several species of mushrooms that are considered delicious.
Belleville washer	# a type of conical washerCategory:English eponyms
bugling	# The act of playing a bugle.
bedicked	# en Having a penis or a representation/replica of a penis.
buccogingival	# en Relating to the cheek and the gum, as:## en In a location on the buccal and gingival aspect (of a tooth or its socket).## en In a direction with buccal and gingival vectors.
bitter almond	# A tree of the species  (order Rosales).# The seed of this tree, which is unpalatably bitter and bears many times the cyanide of the .# A tree of the species  (order Proteales).#: 
bicycle mail	# mail delivered by bicycle and identified by stamp and/or postal mark.
best bower	# en An extra card sometimes added to the pack, which takes precedence over all others as the highest card.# en The main bower (anchor from the bow) of a boat.
beglitter	# To cover with glitter; to make glittery.
build-to	# A boundary or alignment, usually parallel to the property line, along which a building or structure must be placed. It usually establishes the maximum distance away from the property line that a building or structure may be placed.
bimedia	# Involving two forms of media, such as radio and television.
baculate	# Consisting of baculum|bacula.#: '''''baculate''' pollen''
boat person	# en A person who enjoys boats, boating, yachting, etc.# A member of any of the ethnic or refugee groups known as "boat people".
bodkined	# Fastened with a bodkin.
bibliolater	# A worshipper of books, especially the Bible.#: 
bolo tie	# A necktie consisting of a heavy cord held in front by an ornamental clasp or slide.
betravail	# en To work at; compose (a book, etc.).# en To work for; earn by labour.# en To do violence to; violate.
bedframe	# The frame of a bed.
Behaghelian	# en Of or relating to , formulated by the linguist Otto Behaghel, which describe the basic principles behind the position of words and phrases in a sentence.Category:English eponyms
barton	# A farmyard.# the lands of a manor reserved for the Lord's use# en an arrangement of blocks and pulleys; a burton
bartop	# The top surface of a bar (counter for serving drinks).|passage=And as effortlessly as a drunken gunslinger sweeps a '''bartop''' full of shot glasses onto the saloon floor, the wind upended all the potted plants on the porch.}}
biovector	# en A biological vector
burial	# The act of burying; interment
burian	# en A tomb; sepulchre.# en A barrow; mound; tumulus# en A camp; hill-fort.
boottopping	# en The act or process of daubing a vessel's bottom near the surface of the water with a mixture of tallow, sulphur, and resin, as a temporary protection against worms, after the slime, shells, etc., have been scraped off.# en Sheathing a vessel with planking over felt.
Bangladeshize	# To make more Bangladeshi.
butamirate	# en A particular cough suppressant.
barodontalgia	# en toothache|Toothache caused by altered ambient pressure.
blood and ouns	# en Expression of surprise, contempt, outrage, disgust, boredom, frustration.
broad-minded	# Having an open mind; tolerant of diversity.
bane of one's existence	# en Something or someone who poses a significant problem to an individual.
bogosity	# en the state or degree of being bogus; something that is bogus
bogglesome	# Characterised or marked by boggling; mindboggling
bifrontally	# In a bifrontal manner
Baltic herring	# A subspecies of Atlantic herring, (''Clupea harengus membras''), living in the Baltic Sea, smaller than Atlantic herring, with leaner flesh.
by Jupiter	# en invocation|lang=en|year=1820|foo=423 BC|first=Thomas, transl.|last=Mitchell|chapter=|title=The Comedies of Aristophanes|original=Νεφέλαι Nephelai|by=|volume=1|page=91|pageurl=https://books.google.com/books?id=mCBFAQAAIAAJ&pg=RA1-PA91|passage=I see how it is with you.  You are mad, / Stark mad, '''by Jupiter'''!}}lb|en|dated|chiefly British}}w|King Lear}}
bank transfer	# en wire transfer
bibliopolar	# en Concerned with bookselling.
blitz chess	# A form of chess in which each match is time-limited to nine minutes.
bête de scène	# A feral player; an actor whose intense performance is likened to a wild animal.# A performer with innate talent.
box standard	# en A hollow tube frame used for a machine.
butriptyline	# A tricyclic antidepressant drug, the isobutyl side chain homologue of amitriptyline.
bibliome	# en The complete set of biological journal articles and associated information.
Belgian Groenendael	# The long-haired black variant of the Belgian Sheepdog.
bdelygmia	# Abnormal disgust at or loathing of food.# en A litany of invective criticism.
buergerite	# en A cyclosilicate mineral related to tourmaline.
biomarking	# The use of a biomarker
body of me	# en An oath.
barking mad	# en Completely insane.Category:English compound adjectives
bilobalide	# en A sesquiterpenoid lactone, found in Ginkgo leaves, that has neuroprotective propertiesCategory:en:Gymnosperms
baby bond	# en any bond, issued with a value less than $1,000, intended for small investors
box set	# Related musical or video recordings that are gathered on multiple compact discs, DVDs or Blu-rays, and placed in a box to be sold as a unit.# A set of related books from a particular author or genre that are contained within a box.
begiving	# The act or process of begive|begiving or giving out; issuing.
breath and britches	# en The minimal qualities that make one a person (especially a man), either## physically (implying extreme thinness) or,##* '''1990''', , “Why I Live in Hanoi” in ''Dreams of Distant Lives'', New York: G.P. Putnam’s Sons, p. 109,<sup>https://archive.org/details/dreamsofdistantl00abbo]</sup>##*:  San Antonio Mexicans named Cisco and Pancho, both in black-market sombreros. They were skinny—all '''breath and britches'''—and short-timers, soon to go home.## in terms of character, accomplishments, etc.##* '''1957''', , ''Fairoaks'', New York: Pocket Books, 1963, Chapter 22, p. 295,<sup>https://archive.org/details/fairoaksbyfranky00yerb</sup>##*: “ I don’t know a blessed thing but planting. What does she expect me to do? Hire out as an overseer?”##*: I would, Guy thought clearly, coldly; before I’d accept the slightest favor from anybody. But you haven’t got that, have you, Kil? Reckon you never were anything more than '''breath and britches'''.##* '''1966''', , '''', New York: Houghton Mifflin, 2016, Part I, Chapter 3, p. 54,<sup>https://books.google.ca/books?id=0ft0DQAAQBAJ&printsec=frontcover#v=onepage&q&f=false</sup>##*: Man ain’t nothing but trouble, just '''breath and britches''' and trouble. Don’t let him feel all over you, now, don’t let a no-good man touch you, else he’ll big you up sho-nuff.##* '''1981''', , “The Songs of Reba Love Jackson” in ''Damballah'', New York: Houghton Mifflin, 1998, p. 122,<sup>https://archive.org/details/damballah00wide]</sup>##*: We’s all God’s creatures and it ain’t in the Bible to sit in the back of no buses or bow down to any man what ain’t nothing but '''breath and britches'''.# en A man of no substance.
bioburden	# A measure of an object's contamination with microorganisms.
brenningly	# en burningly; ardently
Bradburian	# Of or pertaining to  (1920–2012), American writer of fantasy, science fiction, horror and mystery stories.Category:English eponyms
Betawi	# A member of an Indonesian ethnic group consisting of the descendants of the people living around Batavia (Jakarta) from around the 17th century.
balductum	# a posset# en senseless talk or writing; balderdash.
betulin	# en A naturally abundant triterpene, commonly isolated from the bark of birch trees, that can be converted to betulinic acid.
barra boy	# en A man who works on market stalls (barras).
balloon drop	# A decorative arrangement where a number of balloons are suspended at a height and released at a certain time.
bearded dragon	# A lizard of the genus .
Beauregard claim	# en A patent claim to a computer program, written in the form of a claim to an article of manufacture: a computer-readable medium on which are encoded, typically, instructions for carrying out a process.Category:English eponyms
butterflylike	# Resembling or characteristic of a butterfly.
brook alder	# American winterberry, ''Ilex verticillata''.
buzzardet	# en A hawk resembling the buzzard, but with longer legs, possibly ''Buteo platypterus''.# en A bird of prey mentioned in New England historical accounts, probably the osprey, ''Pandion haliaetus''.Category:en:Birds of preyCategory:en:Buteos
bureaucratitis	# Excessive bureaucracy; red tape.
bystrite	# en A trigonal-ditrigonal pyramidal yellow mineral containing aluminum, calcium, hydrogen, oxygen, potassium, silicon, sodium, and sulfur.
bulk up	# en To gain weight.# en To increase the weight of.# en To train the body with a high-calorie diet and intense weightlifting in order to increase the overall mass of the body, especially the muscles.|lang=en|title=Cross-Training Workouts Every Runner Should Try|first=Molly|last=Hurford|date=2017-01-09|url=http://blog.mapmyrun.com/cross-training-workouts-every-runner-try/|work=MapMyRun|passage=A review of studies done on runners and strength training showed generally positive impacts and no negative consequences. You won’t hulk out or '''bulk up''' just fine-tune some lean muscle in ways that running alone can’t do.}}
brawny	# Characterized by brawn; muscular, thewy; strong.#: ''Rattler was a big, '''brawny''' fellow, and he stepped up in front of me, rolling up his sleeves.''# calloused|Calloused; hardened.
binary-coded decimal	# en A decimal number encoded in such a way that each digit is represented by its own binary sequence, simplifying conversion from binary to decimal.
blog carnival	# en An event where various weblog authors write posts on the same topic, which are then published together.
bush-metal	# gunmetal|Gunmetal; an alloy of copper and tin, used for journals, bearings, etc.
biowaiver	# en An exemption, granted to a biopharmaceutical company, to show bioequivalence to a product
bestrangement	# The state, quality, or condition of being bestranged; estrangement; alienation.
beefsteak mushroom	#  # ''mul'' 
benzoannulation	# en A reaction that forms a benzoannulated product
brachycephalic	# A brachycephalic person or creature.
bow chaser	# One of a pair of long guns mounted forward in the bow of a sailing warship to fire directly ahead; used when chasing an enemy to shoot away her sails and rigging
billingsellacean	# en Any brachiopod of the superfamily .
buttlift	# A type of cosmetic surgery increasing the size of one's buttocks.
backjump	# en A jump from one level of an algorithm to another, used in backjumping.
B road	# en Any of many minor roads in Britain, typically branching off of A roads and travelling to smaller towns and villages
brazenfaced	# en impudent; shameless
bound state	# en A composite of two or more particles that behaves as a single particle.
biophotovoltaic	# Describing electricity generated by biological or biochemical photovoltaic reactions, typically as a byproduct of photosynthesis
black cock	# en the black grouse.Category:en:Grouse
Bermudan option	# en An option that can be exercised at specific dates between issue date and expiry date.
biomatter	# biological matter
bossaball	# An originally Spanish team sport, similar to volleyball, played on an inflatable court with a trampoline on each side of the net.
butt fusion	# A technique for joining pipes by heating the pipe ends and then fuse|fusing them through pressure.
biuret	# en The compound formed by condensation of two molecules of urea with the loss of a molecule of ammonia, (NH<sub>2</sub>-CO)<sub>2</sub>NH, or any of its derivatives
bussenite	# en A triclinic-pedial yellowish brown mineral containing barium, calcium, carbon, fluorine, hydrogen, iron, manganese, oxygen, silicon, sodium, strontium, and titanium.
biostatistic	# A biological statistic
bastardry	# en The state of being a bastard (illegitimate child).# en The unpleasant behaviour of a bastard (objectionable person).
blisk	# An aircraft turbine rotor that has integral blades
bliss	# perfect happiness
bullshitter	# en Someone who lies or exaggerates a lot, especially in order to get noticed.
biomineral	# en A mineral produced by the activity of living things
benazepril	# en A drug used to treat hypertension, congestive heart failure, and chronic renal failure.
binaurality	# The condition of being binaural
back road	# A secondary road, a little used road, a road through rural areas sometimes used as an alternative to main roads.#: ''There was too much traffic on the highway, so I used a '''back road'''. It was very scenic but I had to keep the speed down.''
breathful	# en Full of breath or odour; fragrant.
bioadhesiveness	# The condition of being bioadhesive
blackfaced	# Having a black face.# Wearing blackface theater makeup.
biddability	# The quality of being biddable.# The extent to which something or someone is biddable.
blind rat	# mole rat
boarder	# A pupil who lives at school during term time.#: ''The student body consisted primarily of '''boarders''', except for a few children belonging to the school staff.''# Someone who pays for meals and lodging in a house rather than a hotel.#: ''When I left for college, my parents took on a '''boarder''' in my old room to help defray expenses.''# One who boards a vehicle.# en A sailor attacking an enemy ship by boarding her, or one repelling such attempts by an enemy.#: ''The captain shouted at the crew to grab arms and repel '''boarders'''.''# Someone who takes part in a boardsport, such as surfing or snowboarding.#: ''A group of '''boarders''' swept past us as we climbed the side of the ski run.''
best bet	# en The best proposal or plan.#: ''I think your '''best bet''' would be to book the Italian tour for the end of June.''
benchslap	# en To issue a judicial ruling or opinion that is harsh or humiliating towards a particular party or attorney.
brightish	# Somewhat bright
benzo flu	# en benzodiazepine withdrawal symptoms, resembling those of influenza
bricks and clicks	# clicks and mortar|Clicks and mortar.
blackfold	# en Any of several proposed submanifolds of a black brane.
bull elephant	# A male elephant.
biomediator	# A biological or biochemical mediator
buansuah	# The wild dog of northern India (''Cuon primaevus'', now ''Cuon alpinus''); the dhole.
butcher paper	# A kind of absorbent kraft paper, originally sold to butchers in large sheets for wrapping meat and fish, and now used for arts and crafts in primary education.
boomerang child	# A young adult, especially a college graduate, who has returned to the parental home, especially from college due to unemployment.
Baalic	# Of or relating to the god Baal.Category:English eponyms
BTZ black hole	# A black hole solution for (2+1)-dimensional gravity with a negative cosmological constant.Category:English eponyms
bank of issue	# A bank which issues its own notes payable to bearer.
ball in hand	# In billiards, a circumstance in which a fault by another player, such as a scratch, permits the competitor to take the cue ball in hand and place it anywhere behind the baulk line.
beambird	# A small European flycatcher, the spotted flycatcher, , that often nests on a beam in a building.Category:en:Muscicapids
belast	# en To burden; charge; make bound.
barograph	# A type of barometer that continuously records air pressure on a sheet or rotating drum|passage=Thanks to their '''barograph''', however, they could judge their height above the sea.}}
basiapical	# Situated at the base of an apex
benzofluoranthene	# en Any of a series of isomeric hydrocarbons containing a benzene ring fused to fluoranthene
bus duct	# A collection of busbars, in an enclosed unit, that distributes large amounts of electrical power
basswood	# en Any of several trees of the genus ''Tilia''; the lindens, especially ''Tilia americana'', the American basswood.
betapapillomavirus	# Any virus of the genus 
beautifiable	# Able to be beautify|beautified; capable of being made more beautiful.Category:en:Appearance
Bronx	# A cocktail containing gin, vermouth and orange juice.
behang	# en To hang round or about; depend; suspend; drape.# en To ornament; embellish.
behand	# en To remove the hand or hands from; cut off one's hand or hands.
brilliantness	# The state or quality of being brilliant.
boardman	# A person who wears a sandwich board.
blackenization	# The process of making or becoming more black (i.e. of African descent) or more characteristic of black culture.
Breslover	# A member of a branch of Hasidic Judaism founded by  (1772–1810).Category:English eponymsCategory:en:Judaism
borishanskiite	# en An orthorhombic-pyramidal gray mineral containing arsenic, lead, and palladium.
bedbound	# Unable to leave one's bed for some reason.
buttercuplike	# Resembling or characteristic of a buttercup.
bunk off	# en To play truant#: ''We all '''bunked off''' school yesterday to watch the football.''
beinghood	# The state, quality, or condition of being or existing; existence.# personhood|Personhood; personality.
basque	# The part of a waistcoat etc. extending below the waist.# A woman's close-fitting bodice, underbodice, or corset having such a feature.
brindle	# Having such a colouration; brindled
boraciferous	# Yielding or containing borax.
buttload	# en A regional English measure of capacity of a heavy cart (a butt), containing 6 seams, or 48 bushels, equivalent to 384 gallons.|lang=en|year=1796|title=The Rural Economy of the West of England|volume=1|last=Marshall|first=William|authorlink=William Marshall (agricultural writer)|chapter=Provincialisms of West Devonshire|url=https://archive.org/stream/ruraleconomyofwe01mars#page/324/mode/1up|page=324|passage='''BUTT LOAD''': about six seams.}}en...}}
bibliopegist	# A bookbinder.
bodingly	# in a boding manner
bitewing	# en A radiograph taken to visualize the crowns of the posterior tooth|teeth and the height of the alveolar bone in relation to the cementoenamel junctions, commonly used to examine for interdental caries and recurrent caries under existing restorations.
barque	# A sailing vessel of three or more masts, with all masts but the sternmost square-rigged, the sternmost being fore-and-aft-rigged# en any small sailing vessel# en a sailing vessel or boat of any kind
biliterate	# Capable of reading and writing in two languages.
box off	# en To turn the head of a vessel either way by brace|bracing the headyards aback.# To enclose an area and separate it from a larger area by surrounding it in walls.Category:English phrasal verbsCategory:English phrasal verbs with particle (off)
bluemink	# The plant ''''.
butanolide	# en The cyclic lactone derived from ''4-hydroxybutanoic acid''; any of its derivatives
bowling crease	# en The white line marked at each end of the pitch through the wicket and ending at the return creases. When bowling the bowler's front foot must not cross this line until after the ball has been delivered.
balljoint	# ball-and-socket joint
by-election	# A special election held to fill a political office that has become vacant between general elections.
brainstorm	# en A sudden thought, particularly one that solves a long-standing problem.#: ''I had been working on the problem for weeks, and then I had a '''brainstorm''' and saw that the solution was easy.''# (An instance of) brainstorming.# en An unexpected mental error.
built-in obsolescence	# planned obsolescence
bikejor	# en To ride a bicycle, drawn behind one or more dogs.
big tent	# en A group, philosophy, or social or political movement that encompasses or seeks to attract a broad range of members or constituents.# en Pertaining to, representing, or advocate|advocating such a group, philosophy, or movement.
bitch up	# en to ruin; spoil; mess up.Category:English phrasal verbsCategory:English phrasal verbs with particle (up)
basketweaver	# One who takes part in the craft of basketweaving.
Brown Betty teapot	# A teapot made from red terracotta clay and covered in Rockingham brown glaze, originally made in Stoke-on-Trent by the Elder Brothers circa 1695.Category:en:ContainersCategory:en:Tea
biometeorology	# The study of the relationship between atmospheric conditions (the weather) and living organisms.
blue film	# en a pornographic filmCategory:en:Pornography
backsolve	# To determine the inputs that would lead to a given output in a mathematical system.
brunost	# a brown Norwegian whey-cheese with a strong, sweet flavor.
bricklayer	# A craftsman who builds walls and suchlike out of bricks.#: ''A good '''bricklayer''' should be able to calculate the number of bricks needed to build a wall.''
bearhug	# en To embrace in a bear hug.|passage=All around the Giants are signs and symbols of change and progression, from the once-isolated head coach, who was spotted Sunday night triumphantly '''bearhugging''' a player, to the acutely boyish quarterback, who stepped to the podium wearing the flattering look of whiskered grunge.}}
bee baw babbity	# en A Scottish ring game in which a boy selects and kisses a girl, who moves to the centre of the ring.
Badoglian	# en Describing those Italian soldiers who chose to stay faithful to the Italian Crown and then-Army Commander w:Pietro Badoglio|General Badoglio after w:September 8|September 8 w:1943|1943, during World War II, as the Fascism|Fascist regime fell in Italy and the Italian army was left without a lead as w:Victor Emmanuel III of Italy|King Victor Emmanuel III fled the country.
briner	# One who pickles food in brine.|passage=“We’re the only ones left in the neighborhood who still make pickles on the premises,” said the master '''briner''', who agrees with the historic trust’s warning that “irreparable damage” is being done by new high-rise condos and hotels.}}
boiled	# Cooked in boiling water.# en Having reached the boiling point.# en angry|Angry.# en drunk|Drunk.
bridging visa	# A temporary visa issued to a person already in a country, while other more permanent arrangements are being made or decided by the immigration officials.
beanflour	# A flour made from pulverized beans.
biliopathy	# en Any disease or abnormality of the bile duct|passage=However, just when we started believing that medical management, pharmacological prophylaxis, and endoscopic procedures could reduce crowding in the pediatric surgical clinics, newer indications for surgical intervention, e.g. portal '''biliopathy''', have emerged.}}
boiley	# en A meal of milk and bread boiled.
bomb shelter	# An air-raid shelter, a structure designed to give protection against bombs.
bichromatize	# en To combine or treat with a bichromate, especially with bichromate of potassium.#: '''''bichromatized''' gelatine''
babbittry	# narrow minded materialism
benignity	# en The state of being benign.# en A benign act.
boys and girls	# en Used to address an audience of children.
bellow	# To make a loud, deep, hollow noise like the roar of an angry bull.# To shout in a deep voice.|author=Alistair Magowan|title=Sunderland 0-1 Man Utd|work=BBC Sport|url=http://www.bbc.co.uk/sport/0/football/17973162|page=|passage=Then, as the Sunderland fans' cheers '''bellowed''' around the stadium, United's title bid was over when it became apparent City had pinched a last-gasp winner to seal their first title in 44 years.}}
brandise	# en A three-legged stand for a pot or pan over a fire.
bleck	# en To blacken.# en To defile.#: 
Boris bike	# en A bicycle offered for hire in London, England as part of a bike-share scheme launched in 2010.
brandish	# The act of flourishing or waving.
Bunsen pile	# en An early electrical battery using multiple cells of zinc and graphite in dilute chromic acid
bismutohauchecornite	# en A tetragonal-ditetragonal dipyramidal bronze mineral containing bismuth, nickel, and sulfur.
bang on	# en To constantly talk about.|lang=en|date=February 24 2014|title=CNN axes Piers Morgan Live with final show due to air next month as British presenter admits Americans 'tired of hearing me bang on about gun control'|url=http://www.dailymail.co.uk/news/article-2566348/CNN-axes-Piers-Morgan-Live-final-air-month.html|work=Daily Mail|accessdate=29 July 2014|passage=Morgan said: ‘Look, I am a British guy debating American cultural issues, including guns, which has been very polarising, and there is no doubt that there are many in the audience who are tired of me '''banging on''' about it.'}}enux|en|I started recycling, just so she’d stop '''banging on''' about it to me.}}
battery electric vehicle	# A type of electric vehicle that uses chemical energy stored in rechargeable battery packs.
beloved	# Someone who is loved; something that is loved.
beginner's trap	# en A trap that commonly deceives those who are new to something, especially a practice or a game.#: ''The hole at the beginning of the level is a '''beginner's trap'''.''
bad eye	# A stare that is superstitiously supposed to be harmful; the evil eye.# A threatening or disapproving glance.
beardling	# en One who wears a beard.
benthopelagic	# Any such organism
borosilicated	# Modified by the addition of borosilicate glass|passage=A suction pipette was used to immobilize the oocytes and bevelled rigid '''borosilicated''' micropipettes with a 30° angle and 3.5 μm inner diameter of the tip (custom tips; Eppendorf, Hamburg, Germany) were used to perform the injections.}}
bootstripe	# en A stripe of paint or tape between the topsides and bottom of a vessel.
biblicist	# A Biblical scholar or expert (Bible scholar or expert).# One who interprets the Bible literally.
bostrichid	# en Any member of the Bostrichidae.
busy as a bee	# en Very active; working constantly.
Boisean	# A person from Boise, Idaho, United States.
bastard halibut	# The olive flounder.
beneficial	# Something that is beneficial.Category:English 4-syllable words
bite wing	# en A holder for X-ray film, in which the film is held in place by a small tab on which the patient bites.
boyshorts	# A female undergarment that covers the hips like a pair of shorts.
bait box	# en a box used to keep bait# A small box, in which poison is kept, with space for small animals e.g. rats to eat from.
bismutoferrite	# en A monoclinic-domatic mineral containing bismuth, hydrogen, iron, oxygen, and silicon.
brusquerie	# The act or situation of being brusque; an abrupt or blunt quality.
bandy around	# To talk about something with others, but without knowing the exact facts or truth of the matter.#: ''There are a lot of different figures being '''bandied around''', but the exact cost will not be known for some time yet.''
biocybernetic	# Of or pertaining to biocybernetics.
billboard	# A very large outdoor sign, generally used for advertising.# en A flat surface, such as a panel or fence, on which bills are posted; a bulletin board.# en A piece of thick plank, armed with iron plates, and fixed on the bow or fore-channels of a vessel, for the bill or fluke of the anchor to rest on.<ref>Benjamin J. Totten, ''Naval Text-Book'', Boston: Little and Brown, 1841, p.290, “B<small>ILL</small>-B<small>OARDS</small>.”<sup>https://catalog.hathitrust.org/Record/008602848]</sup></ref># en A sprite that always faces the screen, no matter which direction it is looked at from.
biclonal	# en Having cell markers from two different cell lines
bractiform	# en Having the form of a bract
biomembrane	# en Any biological membrane, but especially that of a cell
bottom	# The lowest or last place or position.#: ''Those files should go on the '''bottom''' shelf.''
boniness	# the property or degree of being bony
baggageman	# en A railway employee who was in charge of the baggage car, storing and retrieving passenger's baggage and sometimes handling mail.
biodrama	# A biographical drama.
black-and-blue	# Badly bruised, with discolourations beneath the skin due to coagulation of bloodCategory:English coordinated pairs
